"label","seconds","interval_ms"
"Validating Mesh",2.157,NA
"Pre-processing scene",2.16,3.00000000000011
"Pre-processed  scene",2.161,0.99999999999989
"Removed duplicate materials",2.161,0
"Processed scene bounds",2.161,0
"Processed texture filenames",2.162,0.99999999999989
"Processed materials",2.162,0
"Loaded environment maps",2.168,6.00000000000023
"Initialized buffers",2.17,1.99999999999978
"Initialized shadowmaps",2.17,0
"Initialized alpha buffers",2.17,0
"Initialized shaders",2.17,0
"Initialized 3D models",2.17,0
"Calculated depth buffer(s)",2.171,0.99999999999989
"Executed pixel shaders",2.199,28
"Blurred environment map",2.215,16
"Calculated linear depth",2.215,0
"Rasterized image",2.216,1.00000000000033
"Display/save image",2.348,132
