"label","seconds","interval_ms"
"Validating Mesh",3.238,NA
"Pre-processing scene",3.243,4.99999999999989
"Pre-processed  scene",3.243,0
"Removed duplicate materials",3.246,3.00000000000011
"Processed scene bounds",3.249,3.00000000000011
"Processed texture filenames",3.25,0.99999999999989
"Processed materials",3.257,7.00000000000012
"Loaded environment maps",3.258,0.99999999999989
"Initialized buffers",3.26,1.99999999999978
"Initialized shadowmaps",3.26,0
"Initialized alpha buffers",3.26,0
"Initialized shaders",3.272,12
"Initialized 3D models",3.275,3.00000000000011
"Calculated depth buffer(s)",3.276,0.99999999999989
"Executed pixel shaders",3.374,98.0000000000003
"Calculated linear depth",3.374,0
"Rasterized image",3.379,4.99999999999989
"Display/save image",3.499,120
