"label","seconds","interval_ms"
"Validating Mesh",2.084,NA
"Pre-processing scene",2.084,0
"Pre-processed  scene",2.084,0
"Removed duplicate materials",2.084,0
"Processed scene bounds",2.084,0
"Processed texture filenames",2.084,0
"Processed materials",2.085,0.99999999999989
"Loaded environment maps",2.085,0
"Initialized buffers",2.087,2.00000000000022
"Initialized shadowmaps",2.087,0
"Initialized alpha buffers",2.087,0
"Initialized shaders",2.087,0
"Initialized 3D models",2.087,0
"Calculated depth buffer(s)",2.087,0
"Executed pixel shaders",2.145,57.9999999999998
"Calculated linear depth",2.145,0
"Rasterized image",2.146,0.99999999999989
"Display/save image",2.308,162
