key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.007708,0.0086836,3
alpha16-800-800-1-1,frame_allocate_clear,6.25175,6.3115253,3
alpha16-800-800-1-1,lights_shadow_allocate,0.003375,0.0037124999999999997,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001084,0.0011209,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.036708,0.0404583,3
alpha16-800-800-1-1,model_setup,0.008625,0.0089247,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.262709,0.27347119999999997,3
alpha16-800-800-1-1,shadow_finalize,0.000208,0.00028359999999999995,3
alpha16-800-800-1-1,indexed_main_transforms,0.001125,0.0013878,3
alpha16-800-800-1-1,main_transform_setup,0.169167,0.1700292,3
alpha16-800-800-1-1,main_bin_build,1.312541,1.3138541000000001,3
alpha16-800-800-1-1,main_coverage_depth_shading,228.971166,229.30739160000002,3
alpha16-800-800-1-1,lines,0.0075,0.0085503,3
alpha16-800-800-1-1,transparency_resolve,373.711333,375.4697458,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,602295936.0,602295936.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,depth_conversion,12.014166,12.1854288,3
alpha16-800-800-1-1,remaining_output_setup,0.009459,0.009684,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,245760.0,245760.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_models,1.0,1.0,3
alpha16-800-800-1-1,count_materials,2.0,2.0,3
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_main_active_blocks,19290.0,19290.0,3
alpha16-800-800-1-1,count_main_bin_references,600049.0,600049.0,3
alpha16-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha16-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
alpha16-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha16-800-800-1-1,count_main_setup_bin_capacity_bytes,2814412.0,2814412.0,3
alpha16-800-800-1-1,count_coverage_candidates,9176125.0,9176125.0,3
alpha16-800-800-1-1,count_covered_samples,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_early_z_failures,0.0,0.0,3
alpha16-800-800-1-1,count_shader_calls,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_transparent_fragments,4498791.0,4498791.0,3
alpha16-800-800-1-1,native_output_assembly,0.689958,0.7200711,3
alpha16-800-800-1-1,native_teardown,17.8005,19.279425,3
alpha16-800-800-1-1,native_total,641.498958,642.6230958000001,3
alpha4-800-800-1-1,environment_decode,0.008417,0.0086789,3
alpha4-800-800-1-1,frame_allocate_clear,6.34025,6.6981503,3
alpha4-800-800-1-1,lights_shadow_allocate,0.003167,0.003617,3
alpha4-800-800-1-1,shadow_alpha_allocate,0.001,0.0010378,3
alpha4-800-800-1-1,shader_setup_asset_decode,0.019833,0.0198708,3
alpha4-800-800-1-1,model_setup,0.008666,0.0087794,3
alpha4-800-800-1-1,bin_and_shadow_shader_allocate,0.243542,0.25051609999999996,3
alpha4-800-800-1-1,shadow_finalize,0.000167,0.000167,3
alpha4-800-800-1-1,indexed_main_transforms,0.001041,0.0011166,3
alpha4-800-800-1-1,main_transform_setup,0.164708,0.1650455,3
alpha4-800-800-1-1,main_bin_build,0.371541,0.3799794,3
alpha4-800-800-1-1,main_coverage_depth_shading,63.152792,63.5975045,3
alpha4-800-800-1-1,lines,0.00975,0.0110253,3
alpha4-800-800-1-1,transparency_resolve,96.03675,97.1754372,3
alpha4-800-800-1-1,count_fragment_capacity_bytes,157424896.0,157424896.0,3
alpha4-800-800-1-1,count_maximum_layers_per_sample,9.0,9.0,3
alpha4-800-800-1-1,count_transparent_touched_samples,301240.0,301240.0,3
alpha4-800-800-1-1,depth_conversion,11.900625,14.0803494,3
alpha4-800-800-1-1,remaining_output_setup,0.008584,0.0090709,3
alpha4-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_varying_payload_bytes,245760.0,245760.0,3
alpha4-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha4-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha4-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha4-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha4-800-800-1-1,count_models,1.0,1.0,3
alpha4-800-800-1-1,count_materials,2.0,2.0,3
alpha4-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha4-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha4-800-800-1-1,count_main_active_blocks,19257.0,19257.0,3
alpha4-800-800-1-1,count_main_bin_references,169849.0,169849.0,3
alpha4-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha4-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
alpha4-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
alpha4-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha4-800-800-1-1,count_main_setup_bin_capacity_bytes,1093612.0,1093612.0,3
alpha4-800-800-1-1,count_coverage_candidates,2487757.0,2487757.0,3
alpha4-800-800-1-1,count_covered_samples,1191100.0,1191100.0,3
alpha4-800-800-1-1,count_early_z_failures,0.0,0.0,3
alpha4-800-800-1-1,count_shader_calls,1191100.0,1191100.0,3
alpha4-800-800-1-1,count_transparent_fragments,1191100.0,1191100.0,3
alpha4-800-800-1-1,native_output_assembly,0.635583,1.3084833,3
alpha4-800-800-1-1,native_teardown,7.068375,12.223538099999999,3
alpha4-800-800-1-1,native_total,187.595208,194.3557461,3
alpha64-800-800-1-1,environment_decode,0.008083,0.0082711,3
alpha64-800-800-1-1,frame_allocate_clear,5.887458,6.3113202,3
