"label","seconds","interval_ms"
"Validating Mesh",9.652,NA
"Pre-processing scene",9.652,0
"Pre-processed  scene",9.652,0
"Removed duplicate materials",9.652,0
"Processed scene bounds",9.653,1.00000000000122
"Processed texture filenames",9.653,0
"Processed materials",9.653,0
"Loaded environment maps",9.653,0
"Initialized buffers",9.655,1.99999999999889
"Initialized shadowmaps",9.655,0
"Initialized alpha buffers",9.655,0
"Initialized shaders",9.655,0
"Initialized 3D models",9.655,0
"Calculated depth buffer(s)",9.655,0
"Executed pixel shaders",10.244,589
"Calculated linear depth",10.808,564
"Rasterized image",10.81,2.00000000000067
"Display/save image",10.967,157
