"label","seconds","interval_ms"
"Validating Mesh",5.227,NA
"Pre-processing scene",5.237,9.99999999999979
"Pre-processed  scene",5.237,0
"Removed duplicate materials",5.245,8.00000000000001
"Processed scene bounds",5.248,3.00000000000011
"Processed texture filenames",5.251,3.00000000000011
"Processed materials",5.265,13.9999999999993
"Loaded environment maps",5.265,0
"Initialized buffers",5.268,3.00000000000011
"Initialized shadowmaps",5.268,0
"Initialized alpha buffers",5.268,0
"Initialized shaders",5.292,24
"Initialized 3D models",5.296,4.00000000000045
"Calculated depth buffer(s)",5.296,0
"Executed pixel shaders",5.56,263.999999999999
"Calculated linear depth",5.56,0
"Rasterized image",5.569,9.00000000000034
"Display/save image",5.699,130
