"label","seconds","interval_ms"
"Validating Mesh",14.213,NA
"Pre-processing scene",14.213,0
"Pre-processed  scene",14.213,0
"Removed duplicate materials",14.213,0
"Processed scene bounds",14.213,0
"Processed texture filenames",14.213,0
"Processed materials",14.213,0
"Loaded environment maps",14.214,1.00000000000122
"Initialized buffers",14.219,4.999999999999
"Initialized shadowmaps",14.219,0
"Initialized alpha buffers",14.219,0
"Initialized shaders",14.219,0
"Initialized 3D models",14.219,0
"Calculated depth buffer(s)",14.219,0
"Executed pixel shaders",14.946,727
"Calculated linear depth",16.3,1354
"Rasterized image",16.377,76.9999999999982
"Display/save image",16.529,152.000000000001
