"label","seconds","interval_ms"
"Validating Mesh",2.115,NA
"Pre-processing scene",2.116,0.99999999999989
"Pre-processed  scene",2.116,0
"Removed duplicate materials",2.117,0.99999999999989
"Processed scene bounds",2.117,0
"Processed texture filenames",2.117,0
"Processed materials",2.119,2.00000000000022
"Loaded environment maps",2.119,0
"Initialized buffers",2.122,2.99999999999967
"Initialized shadowmaps",2.122,0
"Initialized alpha buffers",2.122,0
"Initialized shaders",2.124,2.00000000000022
"Initialized 3D models",2.125,0.99999999999989
"Calculated depth buffer(s)",2.125,0
"Executed pixel shaders",2.154,28.9999999999999
"Calculated linear depth",2.154,0
"Rasterized image",2.155,0.99999999999989
"Display/save image",2.305,150
