key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.008625,0.0086628,3
alpha16-800-800-1-1,frame_allocate_clear,2.406167,2.5286795,3
alpha16-800-800-1-1,lights_shadow_allocate,0.003209,0.0055328,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001375,0.0015631,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.021125,0.028775,3
alpha16-800-800-1-1,model_setup,0.008459,0.0088703,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.429125,0.4361,3
alpha16-800-800-1-1,shadow_finalize,0.000167,0.0002417,3
alpha16-800-800-1-1,indexed_main_transforms,0.001042,0.0011545000000000001,3
alpha16-800-800-1-1,main_transform_setup,0.167708,0.16849550000000002,3
alpha16-800-800-1-1,main_bin_build,1.312292,1.3123667,3
alpha16-800-800-1-1,main_coverage_depth_shading,182.01775,182.9360875,3
alpha16-800-800-1-1,lines,0.011833,0.012171399999999999,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,transparency_resolve,138.177875,143.5005497,3
alpha16-800-800-1-1,depth_conversion,0.006875,0.007325,3
alpha16-800-800-1-1,remaining_output_setup,0.010042,0.0101914,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,3
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_requests,0.0,0.0,3
alpha16-800-800-1-1,count_environment_resize_variants,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_models,1.0,1.0,3
alpha16-800-800-1-1,count_materials,2.0,2.0,3
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_main_active_blocks,19290.0,19290.0,3
alpha16-800-800-1-1,count_main_bin_references,600049.0,600049.0,3
alpha16-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha16-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
alpha16-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha16-800-800-1-1,count_main_setup_bin_capacity_bytes,2814412.0,2814412.0,3
alpha16-800-800-1-1,count_coverage_candidates,9176125.0,9176125.0,3
alpha16-800-800-1-1,count_covered_samples,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_early_z_failures,0.0,0.0,3
