key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.008292,0.0086295,3
alpha16-800-800-1-1,frame_allocate_clear,2.483375,2.5182878,3
alpha16-800-800-1-1,lights_shadow_allocate,0.002417,0.0046292,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001125,0.001125,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.029792,0.030053899999999998,3
alpha16-800-800-1-1,model_setup,0.008208,0.0085086,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.455667,0.4635042,3
alpha16-800-800-1-1,shadow_finalize,0.000167,0.000167,3
alpha16-800-800-1-1,indexed_main_transforms,0.001083,0.0010838999999999998,3
alpha16-800-800-1-1,main_transform_setup,0.167125,0.1815628,3
alpha16-800-800-1-1,main_bin_build,1.298708,1.3263083,3
alpha16-800-800-1-1,main_coverage_depth_shading,186.603583,188.1740839,3
alpha16-800-800-1-1,lines,0.011708,0.0117458,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,transparency_resolve,138.65475,139.25422559999998,3
alpha16-800-800-1-1,depth_conversion,0.006125,0.010924699999999999,3
alpha16-800-800-1-1,remaining_output_setup,0.0095,0.0095369,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,3
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_models,1.0,1.0,3
alpha16-800-800-1-1,count_materials,2.0,2.0,3
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_main_active_blocks,19290.0,19290.0,3
alpha16-800-800-1-1,count_main_bin_references,600049.0,600049.0,3
alpha16-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha16-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
alpha16-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha16-800-800-1-1,count_main_setup_bin_capacity_bytes,2814412.0,2814412.0,3
alpha16-800-800-1-1,count_coverage_candidates,9176125.0,9176125.0,3
alpha16-800-800-1-1,count_covered_samples,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_early_z_failures,0.0,0.0,3
alpha16-800-800-1-1,count_shader_calls,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_transparent_fragments,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_visibility_tiles,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_fallbacks,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_coverage_worker_ms,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_shading_worker_ms,0.0,0.0,3
alpha16-800-800-1-1,native_output_assembly,0.610375,0.6667753000000001,3
alpha16-800-800-1-1,native_teardown,0.314,1.4749999999999999,3
alpha16-800-800-1-1,native_total,329.882833,333.43112080000003,3
environment-800-800-1-1,environment_decode,2.619083,2.7203708,3
environment-800-800-1-1,frame_allocate_clear,1.776042,1.9562661,3
environment-800-800-1-1,lights_shadow_allocate,0.002708,0.0028214,3
environment-800-800-1-1,shadow_alpha_allocate,0.001167,0.0013911,3
environment-800-800-1-1,shader_setup_asset_decode,0.031208,0.034133899999999995,3
environment-800-800-1-1,model_setup,0.005875,0.0059505999999999995,3
environment-800-800-1-1,bin_and_shadow_shader_allocate,0.301583,0.353333,3
environment-800-800-1-1,shadow_finalize,0.000167,0.0002417,3
environment-800-800-1-1,indexed_main_transforms,0.001,0.0011881,3
environment-800-800-1-1,main_transform_setup,0.201166,0.212641,3
environment-800-800-1-1,main_bin_build,0.152917,0.1618045,3
environment-800-800-1-1,main_coverage_depth_shading,29.330917,30.5165545,3
environment-800-800-1-1,lines,0.00275,0.0037994,3
environment-800-800-1-1,count_fragment_capacity_bytes,2560000.0,2560000.0,3
environment-800-800-1-1,count_maximum_layers_per_sample,0.0,0.0,3
environment-800-800-1-1,count_transparent_touched_samples,0.0,0.0,3
environment-800-800-1-1,transparency_resolve,0.318833,0.3384458,3
environment-800-800-1-1,environment_fill,15.455834,15.763183999999999,3
environment-800-800-1-1,depth_conversion,0.003875,0.004136900000000001,3
environment-800-800-1-1,remaining_output_setup,0.000792,0.0008667,3
environment-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_varying_payload_bytes,299520.0,299520.0,3
environment-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_texture_decodes,1.0,1.0,3
environment-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
environment-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_indexed_positions,0.0,0.0,3
environment-800-800-1-1,count_main_clip_transform_evaluations,2880.0,2880.0,3
environment-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_input_triangles,960.0,960.0,3
environment-800-800-1-1,count_models,1.0,1.0,3
environment-800-800-1-1,count_materials,2.0,2.0,3
environment-800-800-1-1,count_main_tasks,0.0,0.0,3
environment-800-800-1-1,count_shadow_tasks,0.0,0.0,3
environment-800-800-1-1,count_main_active_blocks,17125.0,17125.0,3
environment-800-800-1-1,count_main_bin_references,50211.0,50211.0,3
environment-800-800-1-1,count_main_setup_count,960.0,960.0,3
environment-800-800-1-1,count_main_post_clip_triangles,960.0,960.0,3
environment-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
environment-800-800-1-1,count_main_culled_primitives,632.0,632.0,3
environment-800-800-1-1,count_main_setup_bin_capacity_bytes,697492.0,697492.0,3
environment-800-800-1-1,count_coverage_candidates,712086.0,712086.0,3
environment-800-800-1-1,count_covered_samples,250740.0,250740.0,3
environment-800-800-1-1,count_early_z_failures,292.0,292.0,3
environment-800-800-1-1,count_shader_calls,250448.0,250448.0,3
environment-800-800-1-1,count_transparent_fragments,0.0,0.0,3
environment-800-800-1-1,count_visibility_tiles,0.0,0.0,3
environment-800-800-1-1,count_visibility_fallbacks,0.0,0.0,3
environment-800-800-1-1,count_visibility_coverage_worker_ms,0.0,0.0,3
environment-800-800-1-1,count_visibility_shading_worker_ms,0.0,0.0,3
environment-800-800-1-1,native_output_assembly,0.596917,0.6278167,3
environment-800-800-1-1,native_teardown,0.13175,0.14374969999999998,3
environment-800-800-1-1,native_total,50.916083,52.846358,3
grid1m-800-800-1-1,environment_decode,0.008542,0.008729200000000001,3
grid1m-800-800-1-1,frame_allocate_clear,2.39925,2.4411,3
grid1m-800-800-1-1,lights_shadow_allocate,0.003084,0.0031209000000000002,3
grid1m-800-800-1-1,shadow_alpha_allocate,0.001208,0.0012458,3
grid1m-800-800-1-1,shader_setup_asset_decode,23.188417,24.3175048,3
grid1m-800-800-1-1,model_setup,4.033166,4.0513541,3
grid1m-800-800-1-1,bin_and_shadow_shader_allocate,0.432625,0.4432756,3
grid1m-800-800-1-1,shadow_finalize,0.000166,0.0002038,3
grid1m-800-800-1-1,indexed_main_transforms,0.001584,0.0016209,3
grid1m-800-800-1-1,main_transform_setup,166.168584,169.6513212,3
grid1m-800-800-1-1,main_bin_build,9.996208,10.7775205,3
grid1m-800-800-1-1,main_coverage_depth_shading,83.578792,84.6908914,3
grid1m-800-800-1-1,lines,0.012916,0.0140041,3
grid1m-800-800-1-1,count_fragment_capacity_bytes,2560000.0,2560000.0,3
grid1m-800-800-1-1,count_maximum_layers_per_sample,0.0,0.0,3
grid1m-800-800-1-1,count_transparent_touched_samples,0.0,0.0,3
grid1m-800-800-1-1,transparency_resolve,0.31875,0.3256503,3
grid1m-800-800-1-1,depth_conversion,0.005083,0.0056833,3
grid1m-800-800-1-1,remaining_output_setup,0.001667,0.0018541999999999999,3
grid1m-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_varying_payload_bytes,312788736.0,312788736.0,3
grid1m-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_texture_decodes,0.0,0.0,3
grid1m-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
grid1m-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_indexed_positions,0.0,0.0,3
grid1m-800-800-1-1,count_main_clip_transform_evaluations,3007584.0,3007584.0,3
grid1m-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_input_triangles,1002528.0,1002528.0,3
grid1m-800-800-1-1,count_models,1.0,1.0,3
grid1m-800-800-1-1,count_materials,2.0,2.0,3
grid1m-800-800-1-1,count_main_tasks,0.0,0.0,3
grid1m-800-800-1-1,count_shadow_tasks,0.0,0.0,3
grid1m-800-800-1-1,count_main_active_blocks,19126.0,19126.0,3
grid1m-800-800-1-1,count_main_bin_references,1434093.0,1434093.0,3
grid1m-800-800-1-1,count_main_setup_count,1002528.0,1002528.0,3
grid1m-800-800-1-1,count_main_post_clip_triangles,1002528.0,1002528.0,3
grid1m-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
grid1m-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
grid1m-800-800-1-1,count_main_setup_bin_capacity_bytes,190521532.0,190521532.0,3
grid1m-800-800-1-1,count_coverage_candidates,3190783.0,3190783.0,3
grid1m-800-800-1-1,count_covered_samples,302162.0,302162.0,3
grid1m-800-800-1-1,count_early_z_failures,318.0,318.0,3
grid1m-800-800-1-1,count_shader_calls,301844.0,301844.0,3
grid1m-800-800-1-1,count_transparent_fragments,0.0,0.0,3
grid1m-800-800-1-1,count_visibility_tiles,0.0,0.0,3
grid1m-800-800-1-1,count_visibility_fallbacks,0.0,0.0,3
grid1m-800-800-1-1,count_visibility_coverage_worker_ms,0.0,0.0,3
grid1m-800-800-1-1,count_visibility_shading_worker_ms,0.0,0.0,3
grid1m-800-800-1-1,native_output_assembly,3.114541,3.1764169,3
grid1m-800-800-1-1,native_teardown,6.915,8.4936369,3
grid1m-800-800-1-1,native_total,300.709458,304.91819549999997,3
shadow-800-800-1-1,environment_decode,0.008959,0.0091084,3
shadow-800-800-1-1,frame_allocate_clear,2.607166,2.7577288,3
shadow-800-800-1-1,lights_shadow_allocate,0.056042,0.0602045,3
shadow-800-800-1-1,shadow_alpha_allocate,0.2155,0.2241625,3
shadow-800-800-1-1,shader_setup_asset_decode,0.040875,0.0450744,3
shadow-800-800-1-1,model_setup,0.005792,0.0063923,3
shadow-800-800-1-1,bin_and_shadow_shader_allocate,0.498542,0.5265913999999999,3
shadow-800-800-1-1,shadow_0_transform_setup,0.099958,0.1023583,3
shadow-800-800-1-1,shadow_0_bin_build,0.05125,0.0540625,3
shadow-800-800-1-1,shadow_0_coverage_shading,0.804459,0.826284,3
shadow-800-800-1-1,count_shadow_0_fragment_capacity_bytes,262144.0,262144.0,3
shadow-800-800-1-1,shadow_0_transparency_resolve,0.028958,0.0291083,3
shadow-800-800-1-1,shadow_0_clear,0.007125,0.0073122000000000005,3
shadow-800-800-1-1,shadow_finalize,0.000625,0.0006996999999999999,3
shadow-800-800-1-1,indexed_main_transforms,0.001667,0.0019667,3
shadow-800-800-1-1,main_transform_setup,0.200416,0.2086672,3
shadow-800-800-1-1,main_bin_build,0.145417,0.1473286,3
shadow-800-800-1-1,main_coverage_depth_shading,39.312542,39.6255917,3
shadow-800-800-1-1,lines,0.007792,0.0080917,3
shadow-800-800-1-1,count_fragment_capacity_bytes,2560000.0,2560000.0,3
shadow-800-800-1-1,count_maximum_layers_per_sample,0.0,0.0,3
shadow-800-800-1-1,count_transparent_touched_samples,0.0,0.0,3
shadow-800-800-1-1,transparency_resolve,0.324958,0.3281458,3
shadow-800-800-1-1,depth_conversion,0.00275,0.0028625,3
shadow-800-800-1-1,remaining_output_setup,0.001417,0.0015295,3
shadow-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
shadow-800-800-1-1,count_shadow_matrix_payload_bytes,3145728.0,3145728.0,3
shadow-800-800-1-1,count_varying_payload_bytes,299520.0,299520.0,3
shadow-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
shadow-800-800-1-1,count_texture_decodes,0.0,0.0,3
shadow-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
shadow-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
shadow-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
shadow-800-800-1-1,count_indexed_positions,0.0,0.0,3
shadow-800-800-1-1,count_main_clip_transform_evaluations,2880.0,2880.0,3
shadow-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
shadow-800-800-1-1,count_input_triangles,960.0,960.0,3
shadow-800-800-1-1,count_models,1.0,1.0,3
shadow-800-800-1-1,count_materials,2.0,2.0,3
shadow-800-800-1-1,count_main_tasks,0.0,0.0,3
shadow-800-800-1-1,count_shadow_tasks,0.0,0.0,3
shadow-800-800-1-1,count_main_active_blocks,17125.0,17125.0,3
shadow-800-800-1-1,count_main_bin_references,50211.0,50211.0,3
shadow-800-800-1-1,count_main_setup_count,960.0,960.0,3
shadow-800-800-1-1,count_main_post_clip_triangles,960.0,960.0,3
shadow-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
shadow-800-800-1-1,count_main_culled_primitives,632.0,632.0,3
shadow-800-800-1-1,count_main_setup_bin_capacity_bytes,697492.0,697492.0,3
shadow-800-800-1-1,count_coverage_candidates,712086.0,712086.0,3
shadow-800-800-1-1,count_covered_samples,250740.0,250740.0,3
shadow-800-800-1-1,count_early_z_failures,292.0,292.0,3
