"label","seconds","interval_ms"
"Validating Mesh",14.875,NA
"Pre-processing scene",14.876,0.999999999999446
"Pre-processed  scene",14.876,0
"Removed duplicate materials",14.877,1.00000000000122
"Processed scene bounds",14.877,0
"Processed texture filenames",14.878,0.999999999999446
"Processed materials",14.879,0.999999999999446
"Loaded environment maps",14.879,0
"Initialized buffers",14.909,30.0000000000011
"Initialized shadowmaps",14.909,0
"Initialized alpha buffers",14.909,0
"Initialized shaders",14.911,1.99999999999889
"Initialized 3D models",14.912,1.00000000000122
"Calculated depth buffer(s)",14.912,0
"Executed pixel shaders",14.959,46.9999999999988
"Calculated linear depth",14.961,2.00000000000067
"Rasterized image",14.971,9.99999999999979
"Applied FSAA",16.79,1819
"Display/save image",16.915,125
