key,phase,median,p95,samples
alpha129-159-241-1-4,environment_decode,0.007833,0.007833,1
alpha129-159-241-1-4,frame_allocate_clear,0.354667,0.354667,1
alpha129-159-241-1-4,lights_shadow_allocate,0.005416,0.005416,1
alpha129-159-241-1-4,shadow_alpha_allocate,0.001125,0.001125,1
alpha129-159-241-1-4,shader_setup_asset_decode,0.060834,0.060834,1
alpha129-159-241-1-4,model_setup,0.010666,0.010666,1
alpha129-159-241-1-4,bin_and_shadow_shader_allocate,0.091709,0.091709,1
alpha129-159-241-1-4,shadow_finalize,8.3e-05,8.3e-05,1
alpha129-159-241-1-4,indexed_main_transforms,0.004,0.004,1
alpha129-159-241-1-4,main_transform_setup,0.225375,0.225375,1
alpha129-159-241-1-4,main_bin_build,0.507542,0.507542,1
alpha129-159-241-1-4,main_coverage_depth_shading,31.776125,31.776125,1
alpha129-159-241-1-4,lines,0.011625,0.011625,1
alpha129-159-241-1-4,transparency_resolve,216.763541,216.763541,1
alpha129-159-241-1-4,count_fragment_capacity_bytes,469790016.0,469790016.0,1
alpha129-159-241-1-4,count_maximum_layers_per_sample,129.0,129.0,1
alpha129-159-241-1-4,count_transparent_touched_samples,26038.0,26038.0,1
alpha129-159-241-1-4,depth_conversion,0.695334,0.695334,1
alpha129-159-241-1-4,remaining_output_setup,0.00775,0.00775,1
alpha129-159-241-1-4,count_outline_scratch_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_shadow_matrix_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_varying_payload_bytes,495360.0,495360.0,1
alpha129-159-241-1-4,count_texture_decodes,0.0,0.0,1
alpha129-159-241-1-4,count_texture_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_indexed_positions,0.0,0.0,1
alpha129-159-241-1-4,count_main_clip_transform_evaluations,3096.0,3096.0,1
alpha129-159-241-1-4,count_indexed_transform_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_input_triangles,1032.0,1032.0,1
alpha129-159-241-1-4,count_models,1.0,1.0,1
alpha129-159-241-1-4,count_materials,2.0,2.0,1
alpha129-159-241-1-4,count_main_tasks,27.0,27.0,1
alpha129-159-241-1-4,count_shadow_tasks,0.0,0.0,1
alpha129-159-241-1-4,count_main_active_blocks,1680.0,1680.0,1
alpha129-159-241-1-4,count_main_bin_references,304571.0,304571.0,1
alpha129-159-241-1-4,count_main_setup_count,1076.0,1076.0,1
alpha129-159-241-1-4,count_main_post_clip_triangles,1076.0,1076.0,1
alpha129-159-241-1-4,count_main_clipped_triangles,120.0,120.0,1
alpha129-159-241-1-4,count_main_culled_primitives,0.0,0.0,1
alpha129-159-241-1-4,count_main_setup_bin_capacity_bytes,1626804.0,1626804.0,1
alpha129-159-241-1-4,count_coverage_candidates,4482508.0,4482508.0,1
alpha129-159-241-1-4,count_covered_samples,2130156.0,2130156.0,1
alpha129-159-241-1-4,count_early_z_failures,0.0,0.0,1
alpha129-159-241-1-4,count_shader_calls,2130156.0,2130156.0,1
alpha129-159-241-1-4,count_transparent_fragments,2130156.0,2130156.0,1
alpha129-159-241-1-4,native_output_assembly,0.048458,0.048458,1
alpha129-159-241-1-4,native_teardown,38.432875,38.432875,1
alpha129-159-241-1-4,native_total,289.005,289.005,1
alpha4-1920-1080-1-4,environment_decode,0.012834,0.012834,1
alpha4-1920-1080-1-4,frame_allocate_clear,21.448625,21.448625,1
alpha4-1920-1080-1-4,lights_shadow_allocate,0.005416,0.005416,1
alpha4-1920-1080-1-4,shadow_alpha_allocate,0.001375,0.001375,1
alpha4-1920-1080-1-4,shader_setup_asset_decode,0.047209,0.047209,1
alpha4-1920-1080-1-4,model_setup,0.011416,0.011416,1
alpha4-1920-1080-1-4,bin_and_shadow_shader_allocate,0.992709,0.992709,1
alpha4-1920-1080-1-4,shadow_finalize,0.000166,0.000166,1
alpha4-1920-1080-1-4,indexed_main_transforms,0.008084,0.008084,1
alpha4-1920-1080-1-4,main_transform_setup,0.358541,0.358541,1
alpha4-1920-1080-1-4,main_bin_build,1.577584,1.577584,1
alpha4-1920-1080-1-4,main_coverage_depth_shading,31.384458,31.384458,1
alpha4-1920-1080-1-4,lines,0.010625,0.010625,1
alpha4-1920-1080-1-4,transparency_resolve,167.052583,167.052583,1
alpha4-1920-1080-1-4,count_fragment_capacity_bytes,286859264.0,286859264.0,1
alpha4-1920-1080-1-4,count_maximum_layers_per_sample,8.0,8.0,1
alpha4-1920-1080-1-4,count_transparent_touched_samples,549507.0,549507.0,1
alpha4-1920-1080-1-4,depth_conversion,40.432042,40.432042,1
alpha4-1920-1080-1-4,remaining_output_setup,0.010667,0.010667,1
alpha4-1920-1080-1-4,count_outline_scratch_payload_bytes,0.0,0.0,1
alpha4-1920-1080-1-4,count_shadow_matrix_payload_bytes,0.0,0.0,1
alpha4-1920-1080-1-4,count_varying_payload_bytes,245760.0,245760.0,1
alpha4-1920-1080-1-4,count_texture_decodes,0.0,0.0,1
alpha4-1920-1080-1-4,count_texture_payload_bytes,0.0,0.0,1
alpha4-1920-1080-1-4,count_indexed_positions,0.0,0.0,1
alpha4-1920-1080-1-4,count_main_clip_transform_evaluations,1536.0,1536.0,1
alpha4-1920-1080-1-4,count_indexed_transform_payload_bytes,0.0,0.0,1
alpha4-1920-1080-1-4,count_input_triangles,512.0,512.0,1
alpha4-1920-1080-1-4,count_models,1.0,1.0,1
alpha4-1920-1080-1-4,count_materials,2.0,2.0,1
alpha4-1920-1080-1-4,count_main_tasks,548.0,548.0,1
alpha4-1920-1080-1-4,count_shadow_tasks,0.0,0.0,1
alpha4-1920-1080-1-4,count_main_active_blocks,35021.0,35021.0,1
alpha4-1920-1080-1-4,count_main_bin_references,300542.0,300542.0,1
alpha4-1920-1080-1-4,count_main_setup_count,512.0,512.0,1
alpha4-1920-1080-1-4,count_main_post_clip_triangles,512.0,512.0,1
alpha4-1920-1080-1-4,count_main_clipped_triangles,0.0,0.0,1
alpha4-1920-1080-1-4,count_main_culled_primitives,0.0,0.0,1
alpha4-1920-1080-1-4,count_main_setup_bin_capacity_bytes,2333184.0,2333184.0,1
alpha4-1920-1080-1-4,count_coverage_candidates,4507380.0,4507380.0,1
alpha4-1920-1080-1-4,count_covered_samples,2171028.0,2171028.0,1
alpha4-1920-1080-1-4,count_early_z_failures,0.0,0.0,1
alpha4-1920-1080-1-4,count_shader_calls,2171028.0,2171028.0,1
alpha4-1920-1080-1-4,count_transparent_fragments,2171028.0,2171028.0,1
alpha4-1920-1080-1-4,native_output_assembly,1.844208,1.844208,1
alpha4-1920-1080-1-4,native_teardown,14.764541,14.764541,1
alpha4-1920-1080-1-4,native_total,279.963125,279.963125,1
alpha4-1920-1080-2-4,environment_decode,0.008208,0.008208,1
alpha4-1920-1080-2-4,frame_allocate_clear,87.350625,87.350625,1
alpha4-1920-1080-2-4,lights_shadow_allocate,0.005917,0.005917,1
alpha4-1920-1080-2-4,shadow_alpha_allocate,0.001291,0.001291,1
alpha4-1920-1080-2-4,shader_setup_asset_decode,0.025375,0.025375,1
alpha4-1920-1080-2-4,model_setup,0.011125,0.011125,1
alpha4-1920-1080-2-4,bin_and_shadow_shader_allocate,4.635917,4.635917,1
alpha4-1920-1080-2-4,shadow_finalize,0.00025,0.00025,1
alpha4-1920-1080-2-4,indexed_main_transforms,0.006958,0.006958,1
alpha4-1920-1080-2-4,main_transform_setup,1.425292,1.425292,1
alpha4-1920-1080-2-4,main_bin_build,3.093958,3.093958,1
alpha4-1920-1080-2-4,main_coverage_depth_shading,124.759709,124.759709,1
alpha4-1920-1080-2-4,lines,0.009625,0.009625,1
alpha4-1920-1080-2-4,transparency_resolve,685.135333,685.135333,1
alpha4-1920-1080-2-4,count_fragment_capacity_bytes,1142767360.0,1142767360.0,1
alpha4-1920-1080-2-4,count_maximum_layers_per_sample,8.0,8.0,1
alpha4-1920-1080-2-4,count_transparent_touched_samples,2199661.0,2199661.0,1
alpha4-1920-1080-2-4,depth_conversion,196.739042,196.739042,1
alpha4-1920-1080-2-4,remaining_output_setup,0.010291,0.010291,1
alpha4-1920-1080-2-4,count_outline_scratch_payload_bytes,0.0,0.0,1
alpha4-1920-1080-2-4,count_shadow_matrix_payload_bytes,0.0,0.0,1
alpha4-1920-1080-2-4,count_varying_payload_bytes,245760.0,245760.0,1
alpha4-1920-1080-2-4,count_texture_decodes,0.0,0.0,1
alpha4-1920-1080-2-4,count_texture_payload_bytes,0.0,0.0,1
alpha4-1920-1080-2-4,count_indexed_positions,0.0,0.0,1
alpha4-1920-1080-2-4,count_main_clip_transform_evaluations,1536.0,1536.0,1
alpha4-1920-1080-2-4,count_indexed_transform_payload_bytes,0.0,0.0,1
alpha4-1920-1080-2-4,count_input_triangles,512.0,512.0,1
alpha4-1920-1080-2-4,count_models,1.0,1.0,1
alpha4-1920-1080-2-4,count_materials,2.0,2.0,1
alpha4-1920-1080-2-4,count_main_tasks,2183.0,2183.0,1
alpha4-1920-1080-2-4,count_shadow_tasks,0.0,0.0,1
alpha4-1920-1080-2-4,count_main_active_blocks,139699.0,139699.0,1
alpha4-1920-1080-2-4,count_main_bin_references,1151169.0,1151169.0,1
alpha4-1920-1080-2-4,count_main_setup_count,512.0,512.0,1
alpha4-1920-1080-2-4,count_main_post_clip_triangles,512.0,512.0,1
alpha4-1920-1080-2-4,count_main_clipped_triangles,0.0,0.0,1
alpha4-1920-1080-2-4,count_main_culled_primitives,0.0,0.0,1
alpha4-1920-1080-2-4,count_main_setup_bin_capacity_bytes,8846092.0,8846092.0,1
alpha4-1920-1080-2-4,count_coverage_candidates,17844527.0,17844527.0,1
alpha4-1920-1080-2-4,count_covered_samples,8679820.0,8679820.0,1
alpha4-1920-1080-2-4,count_early_z_failures,0.0,0.0,1
alpha4-1920-1080-2-4,count_shader_calls,8679820.0,8679820.0,1
alpha4-1920-1080-2-4,count_transparent_fragments,8679820.0,8679820.0,1
alpha4-1920-1080-2-4,native_output_assembly,11.170042,11.170042,1
alpha4-1920-1080-2-4,native_teardown,52.26775,52.26775,1
alpha4-1920-1080-2-4,native_total,1166.656708,1166.656708,1
alpha4-800-800-2-4,environment_decode,0.007584,0.007584,1
alpha4-800-800-2-4,frame_allocate_clear,25.032083,25.032083,1
alpha4-800-800-2-4,lights_shadow_allocate,0.004208,0.004208,1
alpha4-800-800-2-4,shadow_alpha_allocate,0.001167,0.001167,1
alpha4-800-800-2-4,shader_setup_asset_decode,0.039375,0.039375,1
alpha4-800-800-2-4,model_setup,0.008958,0.008958,1
alpha4-800-800-2-4,bin_and_shadow_shader_allocate,1.242209,1.242209,1
alpha4-800-800-2-4,shadow_finalize,0.000291,0.000291,1
alpha4-800-800-2-4,indexed_main_transforms,0.003042,0.003042,1
alpha4-800-800-2-4,main_transform_setup,0.433125,0.433125,1
alpha4-800-800-2-4,main_bin_build,1.533083,1.533083,1
alpha4-800-800-2-4,main_coverage_depth_shading,67.728375,67.728375,1
alpha4-800-800-2-4,lines,0.009709,0.009709,1
alpha4-800-800-2-4,transparency_resolve,372.687375,372.687375,1
alpha4-800-800-2-4,count_fragment_capacity_bytes,623534080.0,623534080.0,1
alpha4-800-800-2-4,count_maximum_layers_per_sample,8.0,8.0,1
alpha4-800-800-2-4,count_transparent_touched_samples,1206200.0,1206200.0,1
alpha4-800-800-2-4,depth_conversion,68.815375,68.815375,1
alpha4-800-800-2-4,remaining_output_setup,0.010875,0.010875,1
alpha4-800-800-2-4,count_outline_scratch_payload_bytes,0.0,0.0,1
alpha4-800-800-2-4,count_shadow_matrix_payload_bytes,0.0,0.0,1
alpha4-800-800-2-4,count_varying_payload_bytes,245760.0,245760.0,1
alpha4-800-800-2-4,count_texture_decodes,0.0,0.0,1
alpha4-800-800-2-4,count_texture_payload_bytes,0.0,0.0,1
alpha4-800-800-2-4,count_indexed_positions,0.0,0.0,1
alpha4-800-800-2-4,count_main_clip_transform_evaluations,1536.0,1536.0,1
alpha4-800-800-2-4,count_indexed_transform_payload_bytes,0.0,0.0,1
alpha4-800-800-2-4,count_input_triangles,512.0,512.0,1
alpha4-800-800-2-4,count_models,1.0,1.0,1
alpha4-800-800-2-4,count_materials,2.0,2.0,1
alpha4-800-800-2-4,count_main_tasks,1196.0,1196.0,1
alpha4-800-800-2-4,count_shadow_tasks,0.0,0.0,1
alpha4-800-800-2-4,count_main_active_blocks,76528.0,76528.0,1
alpha4-800-800-2-4,count_main_bin_references,640951.0,640951.0,1
alpha4-800-800-2-4,count_main_setup_count,512.0,512.0,1
alpha4-800-800-2-4,count_main_post_clip_triangles,512.0,512.0,1
alpha4-800-800-2-4,count_main_clipped_triangles,0.0,0.0,1
alpha4-800-800-2-4,count_main_culled_primitives,0.0,0.0,1
alpha4-800-800-2-4,count_main_setup_bin_capacity_bytes,3938020.0,3938020.0,1
alpha4-800-800-2-4,count_coverage_candidates,9822040.0,9822040.0,1
alpha4-800-800-2-4,count_covered_samples,4760495.0,4760495.0,1
alpha4-800-800-2-4,count_early_z_failures,0.0,0.0,1
