"label","seconds","interval_ms"
"Validating Mesh",5.374,NA
"Pre-processing scene",5.375,1.00000000000033
"Pre-processed  scene",5.375,0
"Removed duplicate materials",5.375,0
"Processed scene bounds",5.375,0
"Processed texture filenames",5.375,0
"Processed materials",5.375,0
"Loaded environment maps",5.375,0
"Initialized buffers",5.395,19.9999999999996
"Initialized shadowmaps",5.395,0
"Initialized alpha buffers",5.395,0
"Initialized shaders",5.395,0
"Initialized 3D models",5.395,0
"Calculated depth buffer(s)",5.395,0
"Executed pixel shaders",5.427,32
"Calculated linear depth",5.634,207.000000000001
"Rasterized image",5.65,16
"Display/save image",6.133,483
