"label","seconds","interval_ms"
"Validating Mesh",15.856,NA
"Pre-processing scene",15.856,0
"Pre-processed  scene",15.856,0
"Removed duplicate materials",15.856,0
"Processed scene bounds",15.856,0
"Processed texture filenames",15.857,0.999999999999446
"Processed materials",15.857,0
"Loaded environment maps",15.857,0
"Initialized buffers",15.944,87.0000000000015
"Initialized shadowmaps",15.944,0
"Initialized alpha buffers",15.944,0
"Initialized shaders",15.944,0
"Initialized 3D models",15.944,0
"Calculated depth buffer(s)",15.946,1.99999999999889
"Executed pixel shaders",15.966,19.9999999999996
"Calculated linear depth",16.154,188.000000000001
"Rasterized image",16.163,9.00000000000034
"Applied FSAA",17.939,1776
"Display/save image",18.067,128
