key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.012666,0.0155541,3
alpha16-800-800-1-1,frame_allocate_clear,2.468375,2.6073503000000002,3
alpha16-800-800-1-1,lights_shadow_allocate,0.004959,0.0056331,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001042,0.0010789,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.030167,0.0473417,3
alpha16-800-800-1-1,model_setup,0.009291,0.0102288,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.481375,0.50815,3
alpha16-800-800-1-1,shadow_finalize,0.000209,0.0023455999999999998,3
alpha16-800-800-1-1,indexed_main_transforms,0.001167,0.0012786,3
alpha16-800-800-1-1,main_transform_setup,0.17525,0.18256250000000002,3
alpha16-800-800-1-1,main_bin_build,1.344459,1.3504584,3
alpha16-800-800-1-1,main_coverage_depth_shading,203.32475,204.2581994,3
alpha16-800-800-1-1,lines,0.011084,0.012920899999999999,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,transparency_resolve,147.391125,147.62842529999998,3
alpha16-800-800-1-1,depth_conversion,0.007333,0.0091708,3
alpha16-800-800-1-1,remaining_output_setup,0.008834,0.0096962,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,3
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
