"label","seconds","interval_ms"
"Validating Mesh",1.773,NA
"Pre-processing scene",1.773,0
"Pre-processed  scene",1.773,0
"Removed duplicate materials",1.773,0
"Processed scene bounds",1.773,0
"Processed texture filenames",1.773,0
"Processed materials",1.773,0
"Loaded environment maps",1.774,1.00000000000011
"Initialized buffers",1.776,2
"Initialized shadowmaps",1.776,0
"Initialized alpha buffers",1.776,0
"Initialized shaders",1.776,0
"Initialized 3D models",1.776,0
"Calculated depth buffer(s)",1.776,0
"Executed pixel shaders",1.78,4
"Calculated linear depth",1.78,0
"Rasterized image",1.781,0.99999999999989
"Display/save image",1.941,160
