"label","seconds","interval_ms"
"Validating Mesh",2.427,NA
"Pre-processing scene",2.427,0
"Pre-processed  scene",2.427,0
"Removed duplicate materials",2.427,0
"Processed scene bounds",2.427,0
"Processed texture filenames",2.427,0
"Processed materials",2.427,0
"Loaded environment maps",2.427,0
"Initialized buffers",2.434,7.00000000000012
"Initialized shadowmaps",2.434,0
"Initialized alpha buffers",2.434,0
"Initialized shaders",2.434,0
"Initialized 3D models",2.434,0
"Calculated depth buffer(s)",2.44,5.99999999999978
"Executed pixel shaders",2.491,51.0000000000002
"Calculated linear depth",2.504,12.9999999999999
"Rasterized image",2.508,4
"Display/save image",2.656,148
