"label","seconds","interval_ms"
"Validating Mesh",1.739,NA
"Pre-processing scene",1.739,0
"Pre-processed  scene",1.739,0
"Removed duplicate materials",1.739,0
"Processed scene bounds",1.739,0
"Processed texture filenames",1.739,0
"Processed materials",1.739,0
"Loaded environment maps",1.739,0
"Initialized buffers",1.742,2.99999999999989
"Initialized shadowmaps",1.742,0
"Initialized alpha buffers",1.742,0
"Initialized shaders",1.742,0
"Initialized 3D models",1.742,0
"Calculated depth buffer(s)",1.742,0
"Executed pixel shaders",1.746,4
"Calculated linear depth",1.747,1.00000000000011
"Rasterized image",1.747,0
"Display/save image",1.908,161
