"label","seconds","interval_ms"
"Validating Mesh",1.737,NA
"Pre-processing scene",1.737,0
"Pre-processed  scene",1.737,0
"Removed duplicate materials",1.737,0
"Processed scene bounds",1.737,0
"Processed texture filenames",1.737,0
"Processed materials",1.738,0.99999999999989
"Loaded environment maps",1.738,0
"Initialized buffers",1.74,2
"Initialized shadowmaps",1.74,0
"Initialized alpha buffers",1.74,0
"Initialized shaders",1.74,0
"Initialized 3D models",1.74,0
"Calculated depth buffer(s)",1.74,0
"Executed pixel shaders",1.744,4
"Calculated linear depth",1.745,1.00000000000011
"Rasterized image",1.747,2
"Display/save image",1.907,160
