"label","seconds","interval_ms"
"Validating Mesh",1.732,NA
"Pre-processing scene",1.732,0
"Pre-processed  scene",1.732,0
"Removed duplicate materials",1.732,0
"Processed scene bounds",1.732,0
"Processed texture filenames",1.732,0
"Processed materials",1.732,0
"Loaded environment maps",1.733,1.00000000000011
"Initialized buffers",1.735,2
"Initialized shadowmaps",1.735,0
"Initialized alpha buffers",1.735,0
"Initialized shaders",1.735,0
"Initialized 3D models",1.735,0
"Calculated depth buffer(s)",1.735,0
"Executed pixel shaders",1.737,2
"Calculated linear depth",1.737,0
"Rasterized image",1.738,0.99999999999989
"Display/save image",1.899,161
