"label","seconds","interval_ms"
"Validating Mesh",4.18,NA
"Pre-processing scene",4.181,1.00000000000033
"Pre-processed  scene",4.181,0
"Removed duplicate materials",4.182,1.00000000000033
"Processed scene bounds",4.182,0
"Processed texture filenames",4.183,0.999999999999446
"Processed materials",4.184,1.00000000000033
"Loaded environment maps",4.185,0.999999999999446
"Initialized buffers",4.187,2.00000000000067
"Initialized shadowmaps",4.187,0
"Initialized alpha buffers",4.187,0
"Initialized shaders",4.19,3.00000000000011
"Initialized 3D models",4.19,0
"Calculated depth buffer(s)",4.191,0.999999999999446
"Executed pixel shaders",4.547,356
"Calculated linear depth",4.548,1.00000000000033
"Rasterized image",4.549,1.00000000000033
"Display/save image",4.698,149
