key,phase,median,p95,samples
alpha4-800-800-1-1,environment_decode,0.008625,0.008699700000000001,3
alpha4-800-800-1-1,frame_allocate_clear,2.5295,2.5753999999999997,3
alpha4-800-800-1-1,lights_shadow_allocate,0.002834,0.0036961999999999997,3
alpha4-800-800-1-1,shadow_alpha_allocate,0.001125,0.0012744,3
alpha4-800-800-1-1,shader_setup_asset_decode,0.030375,0.0353628,3
alpha4-800-800-1-1,model_setup,0.008291,0.0086663,3
alpha4-800-800-1-1,bin_and_shadow_shader_allocate,0.489209,0.5280214999999999,3
alpha4-800-800-1-1,shadow_finalize,0.000292,0.0003289,3
alpha4-800-800-1-1,indexed_main_transforms,0.001166,0.0011669,3
alpha4-800-800-1-1,main_transform_setup,0.177,0.18179969999999998,3
alpha4-800-800-1-1,main_bin_build,0.403042,0.403492,3
alpha4-800-800-1-1,main_coverage_depth_shading,54.670125,54.9573375,3
alpha4-800-800-1-1,lines,0.008667,0.0095292,3
alpha4-800-800-1-1,count_fragment_capacity_bytes,70733392.0,70733392.0,3
alpha4-800-800-1-1,count_maximum_layers_per_sample,9.0,9.0,3
alpha4-800-800-1-1,count_transparent_touched_samples,301240.0,301240.0,3
alpha4-800-800-1-1,transparency_resolve,31.134666,31.6662663,3
alpha4-800-800-1-1,depth_conversion,0.004542,0.0046167,3
alpha4-800-800-1-1,remaining_output_setup,0.005417,0.0065411,3
alpha4-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,3
alpha4-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha4-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha4-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha4-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha4-800-800-1-1,count_models,1.0,1.0,3
alpha4-800-800-1-1,count_materials,2.0,2.0,3
alpha4-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha4-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha4-800-800-1-1,count_main_active_blocks,19257.0,19257.0,3
alpha4-800-800-1-1,count_main_bin_references,169849.0,169849.0,3
alpha4-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha4-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
