key,phase,median,p95,samples
alpha4-800-800-1-1,environment_decode,0.007458,0.0084705,3
alpha4-800-800-1-1,frame_allocate_clear,2.65925,2.6653628,3
alpha4-800-800-1-1,lights_shadow_allocate,0.002959,0.0031831,3
alpha4-800-800-1-1,shadow_alpha_allocate,0.001,0.0010756,3
alpha4-800-800-1-1,shader_setup_asset_decode,0.031708,0.0346708,3
alpha4-800-800-1-1,model_setup,0.00825,0.008625299999999999,3
alpha4-800-800-1-1,bin_and_shadow_shader_allocate,0.394042,0.4027045,3
alpha4-800-800-1-1,shadow_finalize,0.000209,0.0002837,3
alpha4-800-800-1-1,indexed_main_transforms,0.001,0.0011125,3
alpha4-800-800-1-1,main_transform_setup,0.171625,0.1869997,3
alpha4-800-800-1-1,main_bin_build,0.396875,0.39826280000000003,3
alpha4-800-800-1-1,main_coverage_depth_shading,52.917208,55.9454083,3
alpha4-800-800-1-1,lines,0.006834,0.0095331,3
alpha4-800-800-1-1,count_fragment_capacity_bytes,70733392.0,70733392.0,3
alpha4-800-800-1-1,count_maximum_layers_per_sample,9.0,9.0,3
alpha4-800-800-1-1,count_transparent_touched_samples,301240.0,301240.0,3
alpha4-800-800-1-1,transparency_resolve,32.810541,33.0920916,3
alpha4-800-800-1-1,depth_conversion,0.003792,0.0054795,3
alpha4-800-800-1-1,remaining_output_setup,0.005208,0.006782999999999999,3
alpha4-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,3
alpha4-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha4-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha4-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha4-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha4-800-800-1-1,count_models,1.0,1.0,3
alpha4-800-800-1-1,count_materials,2.0,2.0,3
alpha4-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha4-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha4-800-800-1-1,count_main_active_blocks,19257.0,19257.0,3
alpha4-800-800-1-1,count_main_bin_references,169849.0,169849.0,3
alpha4-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha4-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
alpha4-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
alpha4-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha4-800-800-1-1,count_main_setup_bin_capacity_bytes,1093612.0,1093612.0,3
alpha4-800-800-1-1,count_coverage_candidates,2487757.0,2487757.0,3
alpha4-800-800-1-1,count_covered_samples,1191100.0,1191100.0,3
alpha4-800-800-1-1,count_early_z_failures,0.0,0.0,3
alpha4-800-800-1-1,count_shader_calls,1191100.0,1191100.0,3
alpha4-800-800-1-1,count_transparent_fragments,1191100.0,1191100.0,3
alpha4-800-800-1-1,native_output_assembly,0.634584,0.6410334000000001,3
alpha4-800-800-1-1,native_teardown,0.138917,0.14581729999999998,3
alpha4-800-800-1-1,native_total,90.188417,93.4239917,3
environment-800-800-1-1,environment_decode,2.548541,2.6325416,3
environment-800-800-1-1,frame_allocate_clear,1.914333,2.2816832999999996,3
environment-800-800-1-1,lights_shadow_allocate,0.002709,0.0028206,3
environment-800-800-1-1,shadow_alpha_allocate,0.001417,0.0014917,3
environment-800-800-1-1,shader_setup_asset_decode,0.018584,0.0197459,3
environment-800-800-1-1,model_setup,0.007,0.007337499999999999,3
environment-800-800-1-1,bin_and_shadow_shader_allocate,0.277083,0.3770208,3
environment-800-800-1-1,shadow_finalize,0.000208,0.0002458,3
environment-800-800-1-1,indexed_main_transforms,0.00125,0.0029375,3
environment-800-800-1-1,main_transform_setup,0.198208,0.20357109999999998,3
environment-800-800-1-1,main_bin_build,0.1575,0.16432470000000002,3
environment-800-800-1-1,main_coverage_depth_shading,29.999041,30.4169794,3
environment-800-800-1-1,lines,0.004542,0.010954499999999999,3
environment-800-800-1-1,count_fragment_capacity_bytes,2560000.0,2560000.0,3
environment-800-800-1-1,count_maximum_layers_per_sample,0.0,0.0,3
environment-800-800-1-1,count_transparent_touched_samples,0.0,0.0,3
environment-800-800-1-1,transparency_resolve,0.325208,0.32730770000000003,3
environment-800-800-1-1,environment_fill,16.31425,16.8370375,3
environment-800-800-1-1,depth_conversion,0.008083,0.016858899999999996,3
environment-800-800-1-1,remaining_output_setup,0.001041,0.0010796999999999998,3
environment-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_varying_payload_bytes,299520.0,299520.0,3
environment-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_texture_decodes,1.0,1.0,3
environment-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_indexed_positions,0.0,0.0,3
environment-800-800-1-1,count_main_clip_transform_evaluations,2880.0,2880.0,3
environment-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_input_triangles,960.0,960.0,3
environment-800-800-1-1,count_models,1.0,1.0,3
environment-800-800-1-1,count_materials,2.0,2.0,3
environment-800-800-1-1,count_main_tasks,0.0,0.0,3
environment-800-800-1-1,count_shadow_tasks,0.0,0.0,3
environment-800-800-1-1,count_main_active_blocks,17125.0,17125.0,3
environment-800-800-1-1,count_main_bin_references,50211.0,50211.0,3
environment-800-800-1-1,count_main_setup_count,960.0,960.0,3
environment-800-800-1-1,count_main_post_clip_triangles,960.0,960.0,3
environment-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
environment-800-800-1-1,count_main_culled_primitives,632.0,632.0,3
environment-800-800-1-1,count_main_setup_bin_capacity_bytes,697492.0,697492.0,3
environment-800-800-1-1,count_coverage_candidates,712086.0,712086.0,3
environment-800-800-1-1,count_covered_samples,250740.0,250740.0,3
environment-800-800-1-1,count_early_z_failures,292.0,292.0,3
environment-800-800-1-1,count_shader_calls,250448.0,250448.0,3
environment-800-800-1-1,count_transparent_fragments,0.0,0.0,3
environment-800-800-1-1,native_output_assembly,0.625167,0.6297417,3
environment-800-800-1-1,native_teardown,0.85875,0.8636244,3
environment-800-800-1-1,native_total,53.325041,53.3942672,3
grid1m-800-800-1-1,environment_decode,0.008875,0.0100369,3
grid1m-800-800-1-1,frame_allocate_clear,2.590959,2.6319081,3
grid1m-800-800-1-1,lights_shadow_allocate,0.003375,0.0052128,3
grid1m-800-800-1-1,shadow_alpha_allocate,0.00125,0.0013625,3
grid1m-800-800-1-1,shader_setup_asset_decode,24.979875,25.852125299999997,3
grid1m-800-800-1-1,model_setup,4.152208,4.2207583,3
grid1m-800-800-1-1,bin_and_shadow_shader_allocate,0.382792,0.4083295,3
grid1m-800-800-1-1,shadow_finalize,0.00025,0.00028690000000000003,3
grid1m-800-800-1-1,indexed_main_transforms,0.001292,0.0013667,3
grid1m-800-800-1-1,main_transform_setup,172.8085,176.9953747,3
grid1m-800-800-1-1,main_bin_build,10.552833,11.5420833,3
grid1m-800-800-1-1,main_coverage_depth_shading,88.150125,88.5159003,3
grid1m-800-800-1-1,lines,0.005125,0.0124753,3
grid1m-800-800-1-1,count_fragment_capacity_bytes,2560000.0,2560000.0,3
grid1m-800-800-1-1,count_maximum_layers_per_sample,0.0,0.0,3
grid1m-800-800-1-1,count_transparent_touched_samples,0.0,0.0,3
grid1m-800-800-1-1,transparency_resolve,0.334416,0.34000410000000003,3
grid1m-800-800-1-1,depth_conversion,0.003459,0.0047334,3
grid1m-800-800-1-1,remaining_output_setup,0.001334,0.0013709,3
grid1m-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_varying_payload_bytes,312788736.0,312788736.0,3
grid1m-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_texture_decodes,0.0,0.0,3
grid1m-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_indexed_positions,0.0,0.0,3
grid1m-800-800-1-1,count_main_clip_transform_evaluations,3007584.0,3007584.0,3
grid1m-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
grid1m-800-800-1-1,count_input_triangles,1002528.0,1002528.0,3
grid1m-800-800-1-1,count_models,1.0,1.0,3
grid1m-800-800-1-1,count_materials,2.0,2.0,3
grid1m-800-800-1-1,count_main_tasks,0.0,0.0,3
grid1m-800-800-1-1,count_shadow_tasks,0.0,0.0,3
grid1m-800-800-1-1,count_main_active_blocks,19126.0,19126.0,3
grid1m-800-800-1-1,count_main_bin_references,1434093.0,1434093.0,3
grid1m-800-800-1-1,count_main_setup_count,1002528.0,1002528.0,3
