key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.009292,0.009292,1
alpha16-800-800-1-1,frame_allocate_clear,2.470833,2.470833,1
alpha16-800-800-1-1,lights_shadow_allocate,0.002667,0.002667,1
alpha16-800-800-1-1,shadow_alpha_allocate,0.001,0.001,1
alpha16-800-800-1-1,shader_setup_asset_decode,0.028375,0.028375,1
alpha16-800-800-1-1,model_setup,0.009833,0.009833,1
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.438875,0.438875,1
alpha16-800-800-1-1,shadow_finalize,0.000125,0.000125,1
alpha16-800-800-1-1,indexed_main_transforms,0.001167,0.001167,1
alpha16-800-800-1-1,main_transform_setup,0.132042,0.132042,1
alpha16-800-800-1-1,main_bin_build,1.355416,1.355416,1
alpha16-800-800-1-1,main_coverage_depth_shading,182.145292,182.145292,1
alpha16-800-800-1-1,lines,0.010958,0.010958,1
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,1
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,1
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,1
alpha16-800-800-1-1,transparency_resolve,137.722625,137.722625,1
alpha16-800-800-1-1,depth_conversion,0.004959,0.004959,1
alpha16-800-800-1-1,remaining_output_setup,0.0065,0.0065,1
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,1
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_environment_variant_requests,0.0,0.0,1
alpha16-800-800-1-1,count_environment_resize_variants,0.0,0.0,1
alpha16-800-800-1-1,count_environment_variant_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,1
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,1
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,1
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,1
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,1
alpha16-800-800-1-1,count_models,1.0,1.0,1
alpha16-800-800-1-1,count_materials,2.0,2.0,1
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,1
alpha16-800-800-1-1,count_shadow_tasks,0.0,0.0,1
alpha16-800-800-1-1,count_main_active_blocks,19290.0,19290.0,1
alpha16-800-800-1-1,count_main_bin_references,600049.0,600049.0,1
alpha16-800-800-1-1,count_main_setup_count,512.0,512.0,1
alpha16-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,1
alpha16-800-800-1-1,count_main_clipped_triangles,0.0,0.0,1
alpha16-800-800-1-1,count_main_culled_primitives,0.0,0.0,1
alpha16-800-800-1-1,count_main_setup_bin_capacity_bytes,2814412.0,2814412.0,1
alpha16-800-800-1-1,count_coverage_candidates,9176125.0,9176125.0,1
alpha16-800-800-1-1,count_covered_samples,4498791.0,4498791.0,1
alpha16-800-800-1-1,count_early_z_failures,0.0,0.0,1
alpha16-800-800-1-1,count_shader_calls,4498791.0,4498791.0,1
alpha16-800-800-1-1,count_transparent_fragments,4498791.0,4498791.0,1
alpha16-800-800-1-1,count_visibility_tiles,0.0,0.0,1
alpha16-800-800-1-1,count_visibility_fallbacks,0.0,0.0,1
alpha16-800-800-1-1,count_visibility_coverage_worker_ms,0.0,0.0,1
alpha16-800-800-1-1,count_visibility_shading_worker_ms,0.0,0.0,1
