"label","seconds","interval_ms"
"Validating Mesh",1.805,NA
"Pre-processing scene",1.805,0
"Pre-processed  scene",1.805,0
"Removed duplicate materials",1.805,0
"Processed scene bounds",1.805,0
"Processed texture filenames",1.805,0
"Processed materials",1.805,0
"Loaded environment maps",1.806,1.00000000000011
"Initialized buffers",1.808,2
"Initialized shadowmaps",1.808,0
"Initialized alpha buffers",1.808,0
"Initialized shaders",1.808,0
"Initialized 3D models",1.808,0
"Calculated depth buffer(s)",1.809,0.99999999999989
"Executed pixel shaders",1.826,17.0000000000001
"Calculated linear depth",1.826,0
"Rasterized image",1.827,0.99999999999989
"Display/save image",1.985,158
