"label","seconds","interval_ms"
"Validating Mesh",2.028,NA
"Pre-processing scene",2.028,0
"Pre-processed  scene",2.028,0
"Removed duplicate materials",2.028,0
"Processed scene bounds",2.028,0
"Processed texture filenames",2.028,0
"Processed materials",2.028,0
"Loaded environment maps",2.028,0
"Initialized buffers",2.033,4.99999999999989
"Initialized shadowmaps",2.033,0
"Initialized alpha buffers",2.033,0
"Initialized shaders",2.033,0
"Initialized 3D models",2.033,0
"Calculated depth buffer(s)",2.034,0.99999999999989
"Executed pixel shaders",2.041,7.00000000000012
"Calculated AO",2.085,44
"Calculated linear depth",2.085,0
"Rasterized image",2.086,0.99999999999989
"Display/save image",2.235,149
