"label","seconds","interval_ms"
"Validating Mesh",4.341,NA
"Pre-processing scene",4.341,0
"Pre-processed  scene",4.341,0
"Removed duplicate materials",4.341,0
"Processed scene bounds",4.341,0
"Processed texture filenames",4.341,0
"Processed materials",4.341,0
"Loaded environment maps",4.341,0
"Initialized buffers",4.348,6.99999999999967
"Initialized shadowmaps",4.348,0
"Initialized alpha buffers",4.348,0
"Initialized shaders",4.348,0
"Initialized 3D models",4.348,0
"Calculated depth buffer(s)",4.349,1.00000000000033
"Executed pixel shaders",4.371,22.0000000000002
"Calculated AO",4.587,215.999999999999
"Calculated linear depth",4.599,12.0000000000005
"Rasterized image",4.6,0.999999999999446
"Display/save image",4.768,168
